Adname,Spend,New,Reg,Dep,Qua
NikaFedorova_crCASINOUAS_01_08_2024(7)_t4_L1_15,0,20,3,0,0
NikaFedorova_crCASINOUAS_01_08_2024(7)_t4_L1_12,0,11,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_33,0,11,3,0,0
NikaFedorova_crCASINOUAS_01_08_2024(7)_t4_L1_10,0,17|4,3,0,0
NikaFedorova_crCASINOUAS_01_08_2024(7)_t4_L1_7,0,12,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_49,0,8,2,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_45,0,9|2,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_38,0,21,5,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_19,0,9,1,1,0
NikaFedorova_crCASINOUAS_01_08_2024(7)_t4_L1_4,0,9,2,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_28,0,18,1,1,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_25,0,63|1,8|1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_46,0,5,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_39,0,11,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_11,0,20|2,6,1,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_41,0,14|1,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_37,0,8,2,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_47,0,9,2,1,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_28,0,74|2,10,1,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_17,0,14|2,2,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_25,0,6,0,0,0
NikaFedorova_crCASINOUA_17_08_2024(21)_t4_L2,0,4,0,0,0
NikaFedorova_crCASINOUA_17_08_2024(21)_t3_L1,0,2,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_18,0,12,2,0,0
NikaFedorova_crCASINOUA_17_08_2024(22)_t2_L2,0,6,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_40,0,5,1,0,0
NikaFedorova_crCASINOUA_17_08_2024(20)_t3_L1,0,2,0,0,0
NikaFedorova_crCASINOUA_17_08_2024(18)_t3_L1,0,7,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_39,0,5,1,0,0
NikaFedorova_crCASINOUA_17_08_2024(19)_t3_L1,0,10,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_35,0,6,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_22,0,14,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_36,0,8,2,0,0
NikaFedorova_crCASINOUAS_01_08_2024(7)_t4_L1_11,0,5,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_32,0,5,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_53,0,4,0,0,0
NikaFedorova_crCASINOUA_17_08_2024(19)_t2_L2,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(12)_t3_L2_1,0,47|2,2,1,0
NikaFedorova_crCASINOUAS_01_08_2024(7)_t4_L1_8,0,8,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_26,0,11,0,0,0
NikaFedorova_crCASINOUA_17_08_2024(19)_t4_L2,0,2,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_4,0,72,11,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_33,0,2,0,0,0
NikaFedorova_crCASINOUA_17_08_2024(22)_t4_L2,0,4,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_34,0,1,0,0,0
NikaFedorova_crCASINOUAS_V1_01_08_2024(9)_t2_L2,0,6|3,0,0,0
NikaFedorova_crCASINOUA_17_08_2024(20)_t2_L2,0,1,0,0,0
NikaFedorova_crCASINOUA_17_08_2024(18)_t2_L2,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_51,0,7,1,0,0
РАКК1044822650084853_cr27.6CASINOUAS_01_08_2024(15)_t2_L2,0,1,0,0,0
NikaFedorova_crCASINOUA_17_08_2024(18)_t4_L2,0,6,3,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_32,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_35,0,2,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(7)_t4_L1_13,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_36,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_33,0,12|1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_24,0,5,0,0,0
NikaFedorova_crCASINOUAS_V1_01_08_2024(13)_t3_L2,0,25,4,1,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_14,0,6,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_27,0,6,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_37,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_29,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_12,0,13|2,2,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_22,0,8,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(3)_t1_L1_2,0,3,1|2,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_19,0,16,2,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_21,0,2,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_35,0,1,0,0,0
NikaFedorova_crCASINOUAS_V1_01_08_2024(6_1)_t3_L1,0,26|1,3,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_24,0,13,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_14,0,6,1,1,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_34,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_23,0,2,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_31,0,9,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_18,0,6,1,0,0
NikaFedorova_crCASINOUAS_V1_01_08_2024(9)_t3_L1,0,1,0,0,0
NikaFedorova_crCASINOUA_12_08_2024(17)_t3_L1,0,15,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_20,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_23,0,3,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_11,0,13,1,0,0
NikaFedorova_crCASINOUA_12_08_2024(17)_t2_L2,0,18,2,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_27,0,1,0,0,0
NikaFedorova_crCASINOUAS_V1_01_08_2024(2)_t3_L2,0,9,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_29,0,2,0,0,0
NikaFedorova_crCASINOUAS_V1_01_08_2024(6)_t3_L2,0,5,0,0,0
NikaFedorova_crCASINOUAS_V1_01_08_2024(9)_t3_L2,0,1,1,0,0
NikaFedorova_crCASINOUAS_V1_01_08_2024(6)_t2_L2,0,6,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_30,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_2,0,7,1,1,0
NikaFedorova_crCASINOUAS_V1_01_08_2024(3)_t3_L1,0,3|1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_18,0,12,0,0,0
NikaFedorova_crCASINOUA_12_08_2024(16)_t3_L1,0,18,2,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_10,0,5,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_15,0,11,0,0,0
NikaFedorova_crCASINOUAS_V1_01_08_2024(6)_t3_L1,0,2,0,0,0
NikaFedorova_crCASINOUAS_V1_01_08_2024(2)_t3_L1,0,13,1,0,0
NikaFedorova_crCASINOUAS_V1_01_08_2024(3)_t3_L2,0,11,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(8)_t5_L1,0,131|6,14,2,0
NikaFedorova_crCASINOUAS_V1_01_08_2024(13)_t3_L1,0,14,0,0,0
NikaFedorova_crCASINOUAS_V1_01_08_2024(3)_t2_L2,0,7,0,0,0
NikaFedorova_crCASINOUAS_V1_01_08_2024(13)_t2_L2,0,1,0,0,0
NikaFedorova_crCASINOUAS_V1_01_08_2024(2)_t2_L2,0,1,0,0,0
NikaFedorova_crCASINOUA_12_08_2024(15)_t3_L1,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_12,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_6,0,15,2,1,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_10,0,6,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(4)_t2_L1_Group_1_Image,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_12,0,2,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_8,0,2,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(4)_t2_L1,0,3,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_6,0,22,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(10)_t2_L2_3,0,4,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_2,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_4,0,3,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_3,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t3_L2_1,0,2,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(5)_t3_L1_5,0,1,0,0,0
NikaFedorova_crCASINOUA_05_08_2024(3)_t5_L1,0,17,1,0,0
NikaFedorova_crCASINOUA_05_08_2024(1)_t2_L1,0,14,0,0,0
NikaFedorova_crCASINOUA_05_08_2024(4)_t3_L1,0,17|1,2,0,0
NikaFedorova_crCASINOUA_05_08_2024(2)_t2_L1,0,4,0,0,0
NikaFedorova_crCASINOUA_05_08_2024(1)_t3_L1,0,9,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(9)_t1_L2_2,0,36,2,0,0
NikaFedorova_crCASINOUAS_01_08_2024(12)_t3_L2_2,0,43|2,2,0,0
NikaFedorova_crCASINOUAS_01_08_2024(7)_t4_L1,0,30,2,0,0
pasha5_ab_590007703003539_77_Instagram_Feed,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(3)_t1_L1_1,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(3)_t1_L1_1_Group_1_Image,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(3)_t1_L1_2_Group_1_Image,0,5,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(9)_t1_L2,0,5,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(3)_t1_L1_Group_1_Image,0,1,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(15)_t2_L2,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t4_L2,0,4,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(7)_t4_L1_2,0,2,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(9)_t1_L2_1,0,2,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t4_L2_1,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(8)_t5_L1_2,0,2,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(4)_t2_L1_2_Group_1_Image,0,1,1,0,0
NikaFedorova_crCASINOUAS_01_08_2024(14)_t4_L2_2,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(3)_t1_L1,0,1,0,0,0
NikaFedorova_crCASINOUAS_01_08_2024(4)_t2_L1_1,0,1,0,0,0
test1,0,1,0,0,0
"Публикация: """"","1,2",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(2)_t1_L1,"0,43",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(3)_t3_L1,"11,44",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChi_22_01_25_(1)_(1)_t2_L1,"12,93",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChi_22_01_25_(1)_(1)_t5_L1,"24,71",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(3)_t6_L1,"0,07",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(2)_t4_L1,"0,09",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(5)_t2_L2,"24,66",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(1)_t3_L2,"0,55",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(6)_t1_L2,"0,56",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(6)_t4_L2,"15,6",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(1)_t6_L2,"5,38",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(5)_t5_L2,"3,49",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(5)_t5_L1,"0,32",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(2)_t6_L1,"22,38",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(4)_t4_L1,"1,93",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(1)_t2_L1,"7,11",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(3)_t3_L1,"18,37",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(4)_t4_L1_1,2,0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(4)_t6_L1,"20,63",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(3)_t2_L2,"46,18",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(1)_t1_L2,"35,37",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(4)_t5_L2,"10,41",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChiS_15_03_23_(4)_t3_L2,"10,52",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChi_22_01_25_(1)_t4_L2,"7,87",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(2)_t1_L1,"19,36",0,0,0,0
King_KMartin_MelaniaVysotskaya_crChaChi_22_01_25_(1)_t5_L1,"12,25",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(2)_t7_L1,"21,46",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(4)_t7_L2,"7,55",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(1)_t6_L1,"2,41",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(2)_t2_L2,"7,97",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(10)_t1_L1,"12,77",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(6)_t1_L2,"4,03",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(8)_t1_L1,"1,43",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(9)_t1_L2,"24,35",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(11)_t1_L1,"2,39",0,0,0,0
King_KMartin_MelaniaVysotskaya_crCreo_AI_22_07_2024_(13)_t1_L2,"1,6",0,0,0,0
MelaniaVysotskaya_crCASINOUA_12_08_2024(17)_t5_L2,"0,69",0,0,0,0
Promoting website: https://facebook.com/61565286692061,"0,32",0,0,0,0
